school,city,county,Adm,App,Enr
ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,16.0,90.0,4.0
AMERICAN RIVER COLLEGE,Sacramento,Sacramento,40.0,161.0,16.0
ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,36.0,110.0,24.0
BAKERSFIELD COLLEGE,Bakersfield,Kern,17.0,83.0,9.0
BARSTOW COLLEGE,Barstow,San Bernardino,3.0,23.0,3.0
BERKELEY CITY COLLEGE,Berkeley,Alameda,103.0,322.0,41.0
BUTTE COLLEGE,Oroville,Butte,8.0,30.0,5.0
CABRILLO COLLEGE,Aptos,Santa Cruz,39.0,139.0,14.0
CANADA COLLEGE,Redwood City,San Mateo,23.0,61.0,10.0
CERRITOS COLLEGE,Norwalk,Los Angeles,68.0,214.0,39.0
CHABOT COLLEGE,Hayward,Alameda,46.0,170.0,17.0
CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,56.0,214.0,38.0
CITRUS COLLEGE,Glendora,Los Angeles,53.0,227.0,35.0
CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,79.0,318.0,29.0
CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,15.0,67.0,11.0
COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,6.0,49.0,4.0
COLLEGE OF ALAMEDA,Alameda,Alameda,13.0,72.0,4.0
COLLEGE OF MARIN,Kentfield,Marin,18.0,97.0,8.0
COLLEGE OF SAN MATEO,San Mateo,San Mateo,47.0,222.0,22.0
COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,100.0,371.0,75.0
COLLEGE OF THE DESERT,Palm Desert,Riverside,33.0,118.0,19.0
COLLEGE OF THE REDWOODS,Eureka,Humboldt,4.0,14.0,3.0
COLLEGE OF THE SEQUOIAS,Visalia,Tulare,8.0,49.0,4.0
COLUMBIA COLLEGE,Sonora,Tuolumne,3.0,12.0,
COMPTON COLLEGE,Compton,Los Angeles,,17.0,
CONTRA COSTA COLLEGE,San Pablo,Contra Costa,19.0,70.0,5.0
COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,4.0,10.0,
COSUMNES RIVER COLLEGE,Sacramento,Sacramento,19.0,102.0,4.0
CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,14.0,51.0,9.0
CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,21.0,118.0,8.0
CUYAMACA COLLEGE,El Cajon,San Diego,17.0,73.0,7.0
CYPRESS COLLEGE,Cypress,Orange,41.0,181.0,18.0
DE ANZA COLLEGE,Cupertino,Santa Clara,243.0,1062.0,141.0
DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,238.0,862.0,124.0
EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,116.0,480.0,89.0
EL CAMINO COLLEGE,Torrance,Los Angeles,152.0,560.0,109.0
EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,8.0,68.0,3.0
FOLSOM LAKE COLLEGE,Folsom,Sacramento,24.0,85.0,14.0
FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,121.0,480.0,64.0
FRESNO CITY COLLEGE,Fresno,Fresno,11.0,56.0,4.0
FULLERTON COLLEGE,Fullerton,Orange,77.0,318.0,52.0
GAVILAN COLLEGE,Gilroy,Santa Clara,6.0,27.0,4.0
GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,169.0,509.0,142.0
GOLDEN WEST COLLEGE,Huntington Beach,Orange,32.0,105.0,17.0
GROSSMONT CMTY COLLEGE,El Cajon,San Diego,23.0,140.0,5.0
HARTNELL COLLEGE,Salinas,Monterey,14.0,58.0,11.0
IMPERIAL VALLEY COLLEGE,Imperial,Imperial,13.0,51.0,4.0
IRVINE VALLEY COLLEGE,Irvine,Orange,173.0,740.0,95.0
LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,6.0,29.0,
LANEY COLLEGE,Oakland,Alameda,34.0,123.0,12.0
LAS POSITAS COLLEGE,Livermore,Alameda,31.0,175.0,17.0
LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,52.0,218.0,37.0
LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,71.0,260.0,55.0
LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,13.0,85.0,8.0
LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,13.0,55.0,11.0
LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,220.0,522.0,176.0
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,10.0,43.0,5.0
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,16.0,88.0,12.0
LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,124.0,339.0,91.0
LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,29.0,106.0,14.0
MENDOCINO COLLEGE,Ukiah,Mendocino,3.0,16.0,
MERCED COLLEGE,Merced,Merced,4.0,32.0,
MERRITT COLLEGE,Oakland,Alameda,7.0,34.0,3.0
MIRACOSTA COLLEGE,Oceanside,San Diego,106.0,329.0,58.0
MISSION COLLEGE,Santa Clara,Santa Clara,13.0,61.0,5.0
MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,11.0,58.0,4.0
MONTEREY PENINSULA COLLEGE,Monterey,Monterey,27.0,65.0,11.0
MOORPARK COLLEGE,Moorpark,Ventura,144.0,476.0,111.0
MORENO VALLEY COLLEGE,Moreno Valley,Riverside,11.0,68.0,
MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,36.0,181.0,21.0
MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,168.0,634.0,114.0
NAPA VALLEY COLLEGE,Napa,Napa,23.0,73.0,7.0
NORCO COLLEGE,Norco,Riverside,23.0,118.0,14.0
OHLONE COLLEGE,Fremont,Alameda,67.0,256.0,40.0
ORANGE COAST COLLEGE,Costa Mesa,Orange,160.0,554.0,84.0
OXNARD COLLEGE,Oxnard,Ventura,17.0,57.0,13.0
PALOMAR COLLEGE,San Marcos,San Diego,46.0,183.0,24.0
PASADENA CITY COLLEGE,Pasadena,Los Angeles,371.0,1164.0,267.0
