year,school,city,county,avg_admit_gpa,avg_app_gpa,avg_enroll_gpa
2018,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,3.764285714,3.421168831,3.69
2018,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,3.767241379,3.436557377,3.720909091
2018,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,3.681818182,3.437692308,3.683793103
2018,BAKERSFIELD COLLEGE,Bakersfield,Kern,3.763333333,3.379545455,3.752142857
2018,BERKELEY CITY COLLEGE,Berkeley,Alameda,3.799101124,3.476810036,3.806538462
2018,BUTTE COLLEGE,Oroville,Butte,3.77,3.524666667,
2018,CABRILLO COLLEGE,Aptos,Santa Cruz,3.76775,3.481824818,3.825882353
2018,CANADA COLLEGE,Redwood City,San Mateo,3.744615385,3.423870968,3.648
2018,CERRITOS COLLEGE,Norwalk,Los Angeles,3.749090909,3.354666667,3.742058824
2018,CHABOT COLLEGE,Hayward,Alameda,3.825294118,3.477172414,3.779285714
2018,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,3.744782609,3.376797753,3.736129032
2018,CITRUS COLLEGE,Glendora,Los Angeles,3.736136364,3.398092784,3.732666667
2018,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,3.804878049,3.474340278,3.798421053
2018,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,3.860869565,3.562698413,3.878181818
2018,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,3.533333333,3.228055556,3.468
2018,COLLEGE OF ALAMEDA,Alameda,Alameda,3.781818182,3.389649123,
2018,COLLEGE OF MARIN,Kentfield,Marin,3.7408,3.426363636,3.79
2018,COLLEGE OF SAN MATEO,San Mateo,San Mateo,3.877105263,3.482446352,3.852857143
2018,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,3.791927711,3.459833795,3.790163934
2018,COLLEGE OF THE DESERT,Palm Desert,Riverside,3.789285714,3.4172,3.75
2018,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,3.623529412,3.321071429,3.589090909
2018,CONTRA COSTA COLLEGE,San Pablo,Contra Costa,3.724375,3.42,
2018,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,3.857333333,3.494594595,3.894
