year,broad_discipline,college_school,major_name,admit_gpa_range,admit_rate,enroll_gpa_range,yield_rate,admits,applicants,enrolls,enroll_25th_percentile,enroll_75th_percentile,admit_25th_percentile,admit_75th_percentile
2018,Agriculture & Natural Resources,College Of Letters & science,Environmental science,3.77 - 3.88,0.096,,0.25,12,125,3,,,3.77,3.88
2018,Architecture & Environ Design,School Of The arts & architecture,Architectural studies,3.73 - 3.98,0.138888889,3.67 - 3.93,0.4,30,216,12,3.67,3.93,3.73,3.98
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,African american studies,3.38 - 3.64,0.356164384,3.38 - 3.59,0.807692308,26,73,21,3.38,3.59,3.38,3.64
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,American indian studies,3.38 - 3.95,0.5,,0.6,5,10,3,,,3.38,3.95
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Asian american studies,3.39 - 3.84,0.275,3.46 - 3.84,0.636363636,11,40,7,3.46,3.84,3.39,3.84
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Asian humanities,3.61 - 3.93,0.274647887,3.60 - 3.79,0.512820513,39,142,20,3.60,3.79,3.61,3.93
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Chicana & chicano studies,3.31 - 3.59,0.494382022,3.31 - 3.59,0.75,44,89,33,3.31,3.59,3.31,3.59
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Gender studies,3.38 - 3.75,0.484848485,3.38 - 3.76,0.760416667,96,198,73,3.38,3.76,3.38,3.75
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-asian studies,3.60 - 3.87,0.314285714,3.56 - 3.84,0.787878788,33,105,26,3.56,3.84,3.60,3.87
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-european studies,3.83 - 3.94,0.454545455,,0.6,5,11,3,,,3.83,3.94
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-latin american studies,3.34 - 3.72,0.5625,3.31 - 3.73,0.777777778,9,16,7,3.31,3.73,3.34,3.72
2018,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Spanish and community and culture,3.37 - 3.75,0.655172414,3.35 - 3.67,0.421052632,19,29,8,3.35,3.67,3.37,3.75
