year,admit_gpa_range,applicants
2022,Unknown-missing,235
2022,0.00 - 2.39,454
2022,2.40 - 2.79,1012
2022,2.80 - 3.19,2871
2022,3.20 - 3.59,6141
2022,3.60 - 4.00,14230
2021,Unknown-missing,200
2021,0.00 - 2.39,587
2021,2.40 - 2.79,1329
2021,2.80 - 3.19,3497
2021,3.20 - 3.59,7409
2021,3.60 - 4.00,15442
2020,Unknown-missing,176
2020,0.00 - 2.39,701
2020,2.40 - 2.79,1583
2020,2.80 - 3.19,3861
2020,3.20 - 3.59,7345
2020,3.60 - 4.00,12295
2019,Unknown-missing,133
2019,0.00 - 2.39,600
2019,2.40 - 2.79,1483
2019,2.80 - 3.19,3593
2019,3.20 - 3.59,7186
2019,3.60 - 4.00,11119
2018,Unknown-missing,130
2018,0.00 - 2.39,635
2018,2.40 - 2.79,1512
2018,2.80 - 3.19,3761
2018,3.20 - 3.59,7298
2018,3.60 - 4.00,10422
2017,Unknown-missing,155
2017,0.00 - 2.39,525
2017,2.40 - 2.79,1270
2017,2.80 - 3.19,3632
2017,3.20 - 3.59,6798
2017,3.60 - 4.00,9491
2016,Unknown-missing,161
2016,0.00 - 2.39,569
2016,2.40 - 2.79,1529
2016,2.80 - 3.19,3961
2016,3.20 - 3.59,6946
2016,3.60 - 4.00,9133
2015,Unknown-missing,194
2015,0.00 - 2.39,482
2015,2.40 - 2.79,1264
2015,2.80 - 3.19,3525
2015,3.20 - 3.59,6468
2015,3.60 - 4.00,8182
2014,Unknown-missing,168
2014,0.00 - 2.39,492
2014,2.40 - 2.79,1259
2014,2.80 - 3.19,3470
2014,3.20 - 3.59,6289
2014,3.60 - 4.00,7726
2013,Unknown-missing,148
2013,0.00 - 2.39,531
2013,2.40 - 2.79,1418
2013,2.80 - 3.19,3601
2013,3.20 - 3.59,6204
2013,3.60 - 4.00,7216
2012,Unknown-missing,144
2012,0.00 - 2.39,491
2012,2.40 - 2.79,1398
2012,2.80 - 3.19,3782
2012,3.20 - 3.59,6098
2012,3.60 - 4.00,7027
2011,Unknown-missing,103
2011,0.00 - 2.39,569
2011,2.40 - 2.79,1695
2011,2.80 - 3.19,4189
2011,3.20 - 3.59,6399
2011,3.60 - 4.00,6837
2010,Unknown-missing,123
2010,0.00 - 2.39,542
2010,2.40 - 2.79,1514
2010,2.80 - 3.19,3722
2010,3.20 - 3.59,5992
2010,3.60 - 4.00,6904
2009,Unknown-missing,98
2009,0.00 - 2.39,533
2009,2.40 - 2.79,1293
2009,2.80 - 3.19,3474
2009,3.20 - 3.59,5405
2009,3.60 - 4.00,5783
2008,Unknown-missing,141
2008,0.00 - 2.39,522
2008,2.40 - 2.79,1303
2008,2.80 - 3.19,3148
2008,3.20 - 3.59,4871
2008,3.60 - 4.00,5099
2007,Unknown-missing,106
2007,0.00 - 2.39,433
2007,2.40 - 2.79,1049
2007,2.80 - 3.19,2942
2007,3.20 - 3.59,4500
2007,3.60 - 4.00,4434
2006,Unknown-missing,127
2006,0.00 - 2.39,396
2006,2.40 - 2.79,1012
2006,2.80 - 3.19,2972
2006,3.20 - 3.59,4399
2006,3.60 - 4.00,4220
2005,Unknown-missing,103
2005,0.00 - 2.39,379
2005,2.40 - 2.79,1022
2005,2.80 - 3.19,3092
2005,3.20 - 3.59,4376
2005,3.60 - 4.00,4222
2004,Unknown-missing,112
2004,0.00 - 2.39,436
2004,2.40 - 2.79,1159
2004,2.80 - 3.19,3119
2004,3.20 - 3.59,4570
2004,3.60 - 4.00,4265
2003,Unknown-missing,187
2003,0.00 - 2.39,395
2003,2.40 - 2.79,1130
2003,2.80 - 3.19,3039
2003,3.20 - 3.59,4293
2003,3.60 - 4.00,4087
2002,Unknown-missing,191
2002,0.00 - 2.39,446
2002,2.40 - 2.79,1142
2002,2.80 - 3.19,2761
2002,3.20 - 3.59,4007
2002,3.60 - 4.00,3500
2001,Unknown-missing,180
2001,0.00 - 2.39,401
2001,2.40 - 2.79,1053
2001,2.80 - 3.19,2696
2001,3.20 - 3.59,3724
2001,3.60 - 4.00,3231
2000,Unknown-missing,207
2000,0.00 - 2.39,393
2000,2.40 - 2.79,1037
2000,2.80 - 3.19,2579
2000,3.20 - 3.59,3456
2000,3.60 - 4.00,2908
1999,Unknown-missing,230
1999,0.00 - 2.39,344
1999,2.40 - 2.79,1057
1999,2.80 - 3.19,2549
1999,3.20 - 3.59,3230
1999,3.60 - 4.00,2705
1998,Unknown-missing,223
1998,0.00 - 2.39,354
1998,2.40 - 2.79,917
1998,2.80 - 3.19,2240
1998,3.20 - 3.59,2745
1998,3.60 - 4.00,2276
1997,Unknown-missing,199
1997,0.00 - 2.39,331
1997,2.40 - 2.79,946
1997,2.80 - 3.19,2213
1997,3.20 - 3.59,2554
1997,3.60 - 4.00,2120
1996,Unknown-missing,240
1996,0.00 - 2.39,378
1996,2.40 - 2.79,1039
1996,2.80 - 3.19,2304
1996,3.20 - 3.59,2625
1996,3.60 - 4.00,2134
1995,Unknown-missing,285
1995,0.00 - 2.39,383
1995,2.40 - 2.79,1205
1995,2.80 - 3.19,2296
1995,3.20 - 3.59,2650
1995,3.60 - 4.00,2198
1994,Unknown-missing,274
1994,0.00 - 2.39,396
1994,2.40 - 2.79,1156
1994,2.80 - 3.19,2059
1994,3.20 - 3.59,2563
1994,3.60 - 4.00,1944
